Accuracy on test set: 0.786
Micro F1-score on test set: 0.786
Macro F1-score on test set: 0.6584408623221084
Weighted F1-score on test set: 0.7797768811435937

ENTY:cremat: 0.0
ENTY:event: 0.0
ENTY:product: 0.0
ENTY:word: 0.0
HUM:title: 0.0
ENTY:other: 0.25
DESC:desc: 0.3333333333333333
NUM:money: 0.3333333333333333
NUM:perc: 0.3333333333333333
ENTY:plant: 0.33333333333333337
ENTY:substance: 0.4
ENTY:dismed: 0.5
HUM:desc: 0.5
NUM:other: 0.5555555555555556
LOC:state: 0.588235294117647
HUM:gr: 0.6666666666666666
LOC:mount: 0.6666666666666666
NUM:dist: 0.6666666666666666
ENTY:termeq: 0.7058823529411764
LOC:city: 0.7428571428571428
ABBR:exp: 0.7999999999999999
DESC:manner: 0.8
ENTY:body: 0.8
LOC:country: 0.8
LOC:other: 0.8000000000000002
ENTY:animal: 0.8148148148148148
NUM:count: 0.8181818181818181
ENTY:color: 0.8235294117647058
NUM:period: 0.8421052631578948
ENTY:food: 0.8571428571428571
ENTY:veh: 0.8571428571428571
NUM:weight: 0.8571428571428571
DESC:def: 0.8659003831417624
HUM:ind: 0.8833333333333333
NUM:temp: 0.888888888888889
ENTY:currency: 0.9090909090909091
NUM:date: 0.9782608695652174
ABBR:abb: 1.0
DESC:reason: 1.0
ENTY:instru: 1.0
ENTY:lang: 1.0
ENTY:sport: 1.0
ENTY:techmeth: 1.0
NUM:speed: 1.0

Sentence                                                                                    (True label, Prediction)
How far is it from Denver to Aspen ?                                                        (NUM:dist, NUM:dist)
What county is Modesto , California in ?                                                    (LOC:city, LOC:other)
Who was Galileo ?                                                                           (HUM:desc, HUM:desc)
What is an atom ?                                                                           (DESC:def, DESC:desc)
When did Hawaii become a state ?                                                            (NUM:date, NUM:date)
How tall is the Sears Building ?                                                            (NUM:dist, NUM:dist)
George Bush purchased a small interest in which baseball team ?                             (HUM:gr, HUM:gr)
What is Australia 's national flower ?                                                      (ENTY:plant, DESC:def)
Why does the moon turn orange ?                                                             (DESC:reason, DESC:reason)
What is autism ?                                                                            (DESC:def, DESC:def)
What city had a world fair in 1900 ?                                                        (LOC:city, LOC:city)
What person 's head is on a dime ?                                                          (HUM:ind, DESC:def)
What is the average weight of a Yellow Labrador ?                                           (NUM:weight, NUM:weight)
Who was the first man to fly across the Pacific Ocean ?                                     (HUM:ind, HUM:ind)
When did Idaho become a state ?                                                             (NUM:date, NUM:date)
What is the life expectancy for crickets ?                                                  (NUM:other, NUM:period)
What metal has the highest melting point ?                                                  (ENTY:substance, LOC:mount)
Who developed the vaccination against polio ?                                               (HUM:ind, HUM:ind)
What is epilepsy ?                                                                          (DESC:def, DESC:def)
What year did the Titanic sink ?                                                            (NUM:date, NUM:date)
Who was the first American to walk in space ?                                               (HUM:ind, HUM:ind)
What is a biosphere ?                                                                       (DESC:def, DESC:def)
What river in the US is known as the Big Muddy ?                                            (LOC:other, LOC:other)
